; saturn,  5.6834e+26 
1345804568912.906,-555897313158.3561,-43893633861.2023
1345804568912.906,-555897313158.3561,-43893633861.2023
1345804568912.906,-555897313158.3561,-43893633861.2023
1345804568912.906,-555897313158.3561,-43893633861.2023
1345804568912.906,-555897313158.3561,-43893633861.2023
1345804568912.906,-555897313158.3561,-43893633861.2023
1345804568912.906,-555897313158.3561,-43893633861.2023
1345804568912.906,-555897313158.3561,-43893633861.2023
1345804568912.906,-555897313158.3561,-43893633861.2023
1345804568912.906,-555897313158.3561,-43893633861.2023
1345804568912.906,-555897313158.3561,-43893633861.2023
1345804568912.906,-555897313158.3561,-43893633861.2023
1345804568912.906,-555897313158.3561,-43893633861.2023
1345804568912.906,-555897313158.3561,-43893633861.2023
1345804568912.906,-555897313158.3561,-43893633861.2023
1345804568912.906,-555897313158.3561,-43893633861.2023
1345804568912.906,-555897313158.3561,-43893633861.2023
1345804568912.906,-555897313158.3561,-43893633861.2023
1345804568912.906,-555897313158.3561,-43893633861.2023
1345804568912.906,-555897313158.3561,-43893633861.2023
1345804568912.906,-555897313158.3561,-43893633861.2023
1345804568912.906,-555897313158.3561,-43893633861.2023
1345804568912.906,-555897313158.3561,-43893633861.2023
1345804568912.906,-555897313158.3561,-43893633861.2023
1345804568912.906,-555897313158.3561,-43893633861.2023
1345804568912.906,-555897313158.3561,-43893633861.2023
1345804568912.906,-555897313158.3561,-43893633861.2023
1345804568912.906,-555897313158.3561,-43893633861.2023
1345804568912.906,-555897313158.3561,-43893633861.2023
1345804568912.906,-555897313158.3561,-43893633861.2023
1345804568912.906,-555897313158.3561,-43893633861.2023
1345804568912.906,-555897313158.3561,-43893633861.2023
1345804568912.906,-555897313158.3561,-43893633861.2023
1345804568912.906,-555897313158.3561,-43893633861.2023
1345804568912.906,-555897313158.3561,-43893633861.2023
1345804568912.906,-555897313158.3561,-43893633861.2023
1345804568912.906,-555897313158.3561,-43893633861.2023
1345804568912.906,-555897313158.3561,-43893633861.2023
1345804568912.906,-555897313158.3561,-43893633861.2023
1345804568912.906,-555897313158.3561,-43893633861.2023
1345804568912.906,-555897313158.3561,-43893633861.2023
1345804568912.906,-555897313158.3561,-43893633861.2023
1345804568912.906,-555897313158.3561,-43893633861.2023
1345804568912.906,-555897313158.3561,-43893633861.2023
1345804568912.906,-555897313158.3561,-43893633861.2023
1345804568912.906,-555897313158.3561,-43893633861.2023
1345804568912.906,-555897313158.3561,-43893633861.2023
1345804568912.906,-555897313158.3561,-43893633861.2023
1345804568912.906,-555897313158.3561,-43893633861.2023
1345804568912.906,-555897313158.3561,-43893633861.2023
1345804568912.906,-555897313158.3561,-43893633861.2023
1345804568912.906,-555897313158.3561,-43893633861.2023
1345804568912.906,-555897313158.3561,-43893633861.2023
1345804568912.906,-555897313158.3561,-43893633861.2023
