earth,  5.97e+24 
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
-22270499390.492996,147933605525.70453,0.0
