neptune,  1.02409e+26 
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
-20283249770.965504,1220138971.8089325,442282089.7143852
