pluto,  1.307e+22 
-6377920142.107074,11251654356.348679,641088888.0912311
-6377920142.107074,11251654356.348679,641088888.0912311
-6377920142.107074,11251654356.348679,641088888.0912311
-6377920142.107074,11251654356.348679,641088888.0912311
-6377920142.107074,11251654356.348679,641088888.0912311
-6377920142.107074,11251654356.348679,641088888.0912311
-6377920142.107074,11251654356.348679,641088888.0912311
-6377920142.107074,11251654356.348679,641088888.0912311
-6377920142.107074,11251654356.348679,641088888.0912311
-6377920142.107074,11251654356.348679,641088888.0912311
-6377920142.107074,11251654356.348679,641088888.0912311
-6377920142.107074,11251654356.348679,641088888.0912311
-6377920142.107074,11251654356.348679,641088888.0912311
-6377920142.107074,11251654356.348679,641088888.0912311
-6377920142.107074,11251654356.348679,641088888.0912311
-6377920142.107074,11251654356.348679,641088888.0912311
-6377920142.107074,11251654356.348679,641088888.0912311
-6377920142.107074,11251654356.348679,641088888.0912311
-6377920142.107074,11251654356.348679,641088888.0912311
-6377920142.107074,11251654356.348679,641088888.0912311
-6377920142.107074,11251654356.348679,641088888.0912311
-6377920142.107074,11251654356.348679,641088888.0912311
-6377920142.107074,11251654356.348679,641088888.0912311
-6377920142.107074,11251654356.348679,641088888.0912311
-6377920142.107074,11251654356.348679,641088888.0912311
-6377920142.107074,11251654356.348679,641088888.0912311
-6377920142.107074,11251654356.348679,641088888.0912311
-6377920142.107074,11251654356.348679,641088888.0912311
-6377920142.107074,11251654356.348679,641088888.0912311
-6377920142.107074,11251654356.348679,641088888.0912311
-6377920142.107074,11251654356.348679,641088888.0912311
-6377920142.107074,11251654356.348679,641088888.0912311
-6377920142.107074,11251654356.348679,641088888.0912311
-6377920142.107074,11251654356.348679,641088888.0912311
-6377920142.107074,11251654356.348679,641088888.0912311
-6377920142.107074,11251654356.348679,641088888.0912311
-6377920142.107074,11251654356.348679,641088888.0912311
-6377920142.107074,11251654356.348679,641088888.0912311
-6377920142.107074,11251654356.348679,641088888.0912311
-6377920142.107074,11251654356.348679,641088888.0912311
-6377920142.107074,11251654356.348679,641088888.0912311
-6377920142.107074,11251654356.348679,641088888.0912311
