saturn,  5.6834e+26 
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
-214450942007.39908,88730068358.0933,6994893440.96487
