sun,  1.98847e+30 
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
516008.22811570886,328450.3986137804,0.0
